"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","a","","0","42088","main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"1","42128","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","1","42240","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"2","42250","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","2","42672","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"42823","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","n ","1","42843","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"42954","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","a","0","42954","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","0","45203","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"1","45215","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","45256","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","45626","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","45646","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"2","45661","main.py","1.1.2 for 2021-2022 @t1","0"
"e","=","","2","45839","main.py","1.1.2 for 2021-2022 @t1","0"
"k","=",,"3","45849","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","45960","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"4","45970","main.py","1.1.2 for 2021-2022 @t1","0"
"e","0","","4","46845","main.py","1.1.2 for 2021-2022 @t1","0"
"k","0",,"5","46860","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"47723","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","5","47760","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"48526","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","5","48526","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"48704","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","0","4","48704","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"48857","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","3","48857","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"49020","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","=","2","49020","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"49173","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","49189","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"49305","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","0","49305","main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"49436","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","0","50244","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"1","50259","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","50291","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","50360","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","50360","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"2","50375","main.py","1.1.2 for 2021-2022 @t1","0"
"e","=","","2","50527","main.py","1.1.2 for 2021-2022 @t1","0"
"k","=",,"3","50537","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","50655","main.py","1.1.2 for 2021-2022 @t1","0"
